,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
573,3866,CONUN,CON,conun,2,2019-04-17T00:00:00.000Z,,2897405858.7000003,5000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4Dd672e77c795844fe3A464eF8eF0FAAe617C8fB'}",574,0.00367133657156,912446.74148799,-7.26124234,-13.10507609,5.9272799,10637352.091697518
574,6120,Anchor Neural World,ANW,anchor-neural-world,3,2020-08-04T00:00:00.000Z,1000000000.0,101155033.2394001,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7dbdd9dafdc4c1c03d67925a4f85daa398af32b0'}",575,0.10558589451705,20893405.80782123,-6.55354911,-11.56591175,5.20115936,10680544.669483986
575,2161,Raiden Network Token,RDN,raiden-network-token,13,2017-11-08T00:00:00.000Z,,50910504.10042729,99999999.99999996,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6'}",576,0.20841506438245,949317.89923709,-3.80735575,-9.25016062,24.93013061,10610515.98983354
576,2938,Hashgard,GARD,hashgard,11,2018-07-17T00:00:00.000Z,,99144999909.99997,100000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5c64031c62061865e5fd0f53d3cdaef80f72e99d'}",577,0.00010684318847,229629.33486846,-0.24572608,-0.41095691,12.70570357,10592967.91124226
577,5103,Tachyon Protocol,IPX,tachyon-protocol,10,2020-01-03T00:00:00.000Z,1500000000.0,266858530.8,1000000000.0,,578,0.03975834545886,728450.21858667,-0.01222512,-4.92125595,11.1986506,10609853.656190231
578,377,NavCoin,NAV,nav-coin,6,2014-06-12T00:00:00.000Z,,70700130.90771085,70700130.90771085,,579,0.14862312851817,20164.25856968,-10.53657365,-13.18853136,19.59487617,10507674.642148152
579,2303,MediBloc,MED,medibloc,6,2017-12-22T00:00:00.000Z,,2738131491.110654,8388959432.110654,"{'id': 1839, 'name': 'Binance Chain', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'MEDB-87E'}",580,0.00383295314342,143762.73491134,-5.55416204,-4.59116526,32.25519379,10495129.705949873
580,3731,PlayChip,PLA,playchip,4,2019-02-08T00:00:00.000Z,,14009105692.842155,49999999999.99999,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0198f46f520F33cd4329bd4bE380a25a90536CD5'}",581,0.00073759729165,13.82419385,-4.17062327,-9.43652805,-3.71919157,10333078.417478971
581,7772,Leverj Gluon,L2,leverj-gluon,3,2020-11-25T00:00:00.000Z,,236359742.0,801651386.0,,582,0.043547412135,264106.31559594,-5.99797666,-4.27281821,-9.81117618,10292855.096996268
582,1403,FirstBlood,1ST,firstblood,3,2016-09-28T00:00:00.000Z,,85558370.5,93468691.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7'}",583,0.11967012547843,457.74314164,-4.50891373,-7.03309447,-4.91323943,10238780.933465004
583,2909,LikeCoin,LIKE,likecoin,6,2018-07-10T00:00:00.000Z,2000000000.0,834414563.135933,1011966325.7322483,,584,0.01230021325982,31727.28166595,-0.0168154,-5.75453899,1.60960496,10263477.073671516
